,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,30,blue-collar,married,basic.9y,0,1,0,0,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
1,39,services,single,high.school,0,0,0,1,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
2,25,services,married,high.school,0,1,0,1,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
4,47,admin.,married,university.degree,0,1,0,0,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
5,32,services,single,university.degree,0,0,0,0,sep,thu,3,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,0
6,32,admin.,single,university.degree,0,1,0,0,sep,mon,4,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,0
8,31,services,divorced,professional.course,0,0,0,0,nov,tue,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,0
11,36,self-employed,single,basic.4y,0,0,0,0,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
12,36,admin.,married,high.school,0,0,0,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
13,47,blue-collar,married,basic.4y,0,1,0,1,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
14,29,admin.,single,high.school,0,0,0,0,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
15,27,services,single,university.degree,0,0,0,0,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
16,44,admin.,divorced,university.degree,0,0,0,0,jul,wed,6,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
17,46,admin.,divorced,university.degree,0,1,0,1,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
19,50,blue-collar,married,basic.4y,0,0,1,0,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1
21,39,technician,divorced,high.school,0,0,0,0,mar,mon,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,1
22,29,technician,single,university.degree,0,1,1,0,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
23,40,management,married,high.school,0,0,1,0,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
25,38,technician,married,professional.course,0,1,0,0,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1
26,36,technician,divorced,professional.course,0,0,0,1,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
29,34,admin.,married,university.degree,0,0,0,0,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
30,38,technician,married,university.degree,0,1,1,0,mar,tue,1,999,1,failure,-1.8,92.843,-50,1.687,5099.1,0
32,51,technician,single,university.degree,0,0,0,0,jun,fri,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,0
34,48,technician,married,university.degree,0,0,0,0,aug,thu,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
35,28,blue-collar,single,basic.9y,0,1,0,1,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
36,36,blue-collar,married,basic.6y,0,1,0,1,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
37,46,management,divorced,high.school,0,0,0,0,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
42,76,retired,married,university.degree,0,0,0,0,aug,thu,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,0
43,45,entrepreneur,divorced,professional.course,0,1,0,0,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
44,32,housemaid,married,basic.4y,0,1,1,0,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
46,32,admin.,married,university.degree,0,0,0,1,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.592,5195.8,0
47,29,admin.,single,basic.9y,0,0,0,0,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
48,44,services,married,professional.course,0,0,0,0,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
49,32,services,married,high.school,0,0,1,0,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
50,56,retired,married,university.degree,0,1,0,0,jun,wed,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,0
51,33,blue-collar,married,basic.9y,0,1,0,0,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
52,39,management,married,high.school,0,0,0,0,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
53,24,technician,married,university.degree,0,1,1,0,sep,tue,2,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,1
54,33,admin.,single,university.degree,0,1,0,0,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
55,58,entrepreneur,divorced,university.degree,0,0,0,1,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
56,29,admin.,single,university.degree,0,1,0,1,jun,fri,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
57,31,admin.,married,university.degree,0,1,0,0,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
58,27,admin.,married,university.degree,0,0,0,1,may,wed,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
59,60,admin.,divorced,professional.course,0,1,0,0,sep,wed,1,999,1,failure,-1.1,94.199,-37.5,0.886,4963.6,1
60,55,entrepreneur,married,professional.course,0,1,1,0,oct,mon,1,999,2,failure,-3.4,92.431,-26.9,0.739,5017.5,0
61,37,blue-collar,married,basic.9y,0,1,0,0,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
63,46,services,married,high.school,0,1,0,0,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
64,42,blue-collar,divorced,basic.6y,0,1,0,0,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
65,35,admin.,single,university.degree,0,1,0,0,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
67,29,services,divorced,high.school,0,0,1,1,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
68,32,blue-collar,married,basic.9y,0,0,0,0,nov,mon,2,5,1,success,-0.1,93.2,-42,4.191,5195.8,1
69,37,self-employed,married,university.degree,0,0,0,0,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0
72,28,admin.,single,high.school,0,1,0,0,may,tue,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
73,34,management,married,university.degree,0,1,0,0,may,wed,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
74,31,technician,single,high.school,0,1,1,0,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1
75,31,admin.,married,university.degree,0,1,0,0,aug,thu,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
76,31,admin.,single,university.degree,0,1,0,1,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
77,38,self-employed,single,university.degree,0,0,0,1,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
78,33,unemployed,married,basic.9y,0,0,0,1,jun,fri,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
79,32,technician,single,university.degree,0,0,0,0,aug,tue,12,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
81,41,admin.,divorced,high.school,0,1,0,1,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
83,57,retired,married,university.degree,0,1,0,0,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,0
84,38,entrepreneur,divorced,university.degree,0,1,0,0,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
85,46,admin.,married,university.degree,0,1,0,1,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
86,37,unemployed,single,university.degree,0,1,1,0,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
88,45,admin.,single,university.degree,0,0,0,0,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1
89,36,blue-collar,married,basic.6y,0,1,0,1,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
