age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30,blue-collar,married,basic.9y,0,1,0,0,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
39,services,single,high.school,0,0,0,1,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
25,services,married,high.school,0,1,0,1,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
38,services,married,basic.9y,0,1,0,1,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
47,admin.,married,university.degree,0,1,0,0,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
32,services,single,university.degree,0,0,0,0,sep,thu,3,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,0
32,admin.,single,university.degree,0,1,0,0,sep,mon,4,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,0
41,entrepreneur,married,university.degree,0,1,0,0,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
31,services,divorced,professional.course,0,0,0,0,nov,tue,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,0
35,blue-collar,married,basic.9y,0,0,0,1,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
25,services,single,basic.6y,0,1,0,0,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
36,self-employed,single,basic.4y,0,0,0,0,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
36,admin.,married,high.school,0,0,0,1,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
47,blue-collar,married,basic.4y,0,1,0,1,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
29,admin.,single,high.school,0,0,0,0,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
27,services,single,university.degree,0,0,0,0,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
