,age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,poutcome_failure,poutcome_nonexistent,poutcome_success,housing_new
0,30,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,1
1,39,4,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0
2,25,1,999,0,1.4,94.465,-41.8,4.962,5228.1,0,0,1,0,1
4,47,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,1,0,1
5,32,3,999,2,-1.1,94.199,-37.5,0.884,4963.6,0,1,0,0,0
6,32,4,999,0,-1.1,94.199,-37.5,0.879,4963.6,0,0,1,0,1
7,41,2,999,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,1,0,1
8,31,1,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,1,0,0,0
9,35,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0
10,25,1,999,0,1.4,93.91799999999999,-42.7,4.958,5228.1,0,0,1,0,1
11,36,1,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,0,1,0,0
12,36,2,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,0
13,47,2,999,0,1.4,94.465,-41.8,4.958,5228.1,0,0,1,0,1
14,29,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,0
15,27,2,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,0
16,44,6,999,0,1.4,93.91799999999999,-42.7,4.957,5228.1,0,0,1,0,0
17,46,4,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,1
18,45,2,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,1
19,50,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,1,0,1,0,0
20,55,6,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,1
21,39,1,12,2,-1.8,93.369,-34.8,0.639,5008.7,1,0,0,1,0
22,29,3,999,0,1.4,93.444,-36.1,4.967,5228.1,0,0,1,0,1
23,40,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,0
24,44,7,999,0,1.1,93.994,-36.4,4.864,5191.0,0,0,1,0,1
25,38,1,999,0,1.4,93.444,-36.1,4.965,5228.1,1,0,1,0,1
26,36,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0
27,28,2,999,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,1,0,0,0
28,47,1,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,0
29,34,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,0
30,38,1,999,1,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1,0,1,0,0,1
31,33,3,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,1
32,51,2,999,0,-2.9,92.963,-40.8,1.268,5076.2,0,0,1,0,0
33,30,1,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,1
34,48,7,999,0,1.4,93.444,-36.1,4.962,5228.1,0,0,1,0,0
35,28,1,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,1
36,36,1,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,1
37,46,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,0
38,31,1,999,1,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,1,0,0,1
39,20,3,999,3,-1.1,94.601,-49.5,0.977,4963.6,0,1,0,0,0
40,35,1,999,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,0,1,0,1
42,76,1,999,1,-1.7,94.027,-38.3,0.899,4991.6,0,1,0,0,0
