,age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,poutcome_failure,poutcome_nonexistent,poutcome_success,job_new
0,30,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,1
1,39,4,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,7
2,25,1,999,0,1.4,94.465,-41.8,4.962,5228.1,0,0,1,0,7
3,38,3,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,7
4,47,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,1,0,0
5,32,3,999,2,-1.1,94.199,-37.5,0.884,4963.6,0,1,0,0,7
6,32,4,999,0,-1.1,94.199,-37.5,0.879,4963.6,0,0,1,0,0
7,41,2,999,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,1,0,2
8,31,1,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,1,0,0,7
9,35,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,1
10,25,1,999,0,1.4,93.91799999999999,-42.7,4.958,5228.1,0,0,1,0,7
11,36,1,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,0,1,0,6
12,36,2,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,0
13,47,2,999,0,1.4,94.465,-41.8,4.958,5228.1,0,0,1,0,1
14,29,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,0
15,27,2,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,7
16,44,6,999,0,1.4,93.91799999999999,-42.7,4.957,5228.1,0,0,1,0,0
17,46,4,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,0
18,45,2,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,2
19,50,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,1,0,1,0,1
20,55,6,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,7
21,39,1,12,2,-1.8,93.369,-34.8,0.639,5008.7,1,0,0,1,9
22,29,3,999,0,1.4,93.444,-36.1,4.967,5228.1,0,0,1,0,9
23,40,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,4
24,44,7,999,0,1.1,93.994,-36.4,4.864,5191.0,0,0,1,0,9
25,38,1,999,0,1.4,93.444,-36.1,4.965,5228.1,1,0,1,0,9
26,36,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,9
27,28,2,999,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,1,0,0,1
28,47,1,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,0
29,34,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,0
30,38,1,999,1,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1,0,1,0,0,9
31,33,3,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,7
32,51,2,999,0,-2.9,92.963,-40.8,1.268,5076.2,0,0,1,0,9
33,30,1,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,1
34,48,7,999,0,1.4,93.444,-36.1,4.962,5228.1,0,0,1,0,9
35,28,1,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,1
36,36,1,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,1
37,46,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,4
38,31,1,999,1,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,1,0,0,9
39,20,3,999,3,-1.1,94.601,-49.5,0.977,4963.6,0,1,0,0,8
40,35,1,999,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,0,1,0,7
41,38,1,999,0,1.4,94.465,-41.8,4.967,5228.1,0,0,1,0,1
42,76,1,999,1,-1.7,94.027,-38.3,0.899,4991.6,0,1,0,0,5
43,45,3,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,2
44,32,1,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,3
45,39,2,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,4
46,32,1,999,0,-0.1,93.2,-42.0,4.592,5195.8,0,0,1,0,0
47,29,2,999,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,0,1,0,0
48,44,2,999,0,1.4,93.444,-36.1,4.97,5228.1,0,0,1,0,7
49,32,3,999,0,1.4,93.91799999999999,-42.7,4.957,5228.1,0,0,1,0,7
50,56,1,999,2,-2.9,92.963,-40.8,1.26,5076.2,0,1,0,0,5
51,33,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,1
52,39,3,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,1,0,4
53,24,2,3,1,-3.4,92.37899999999999,-29.8,0.77,5017.5,1,0,0,1,9
54,33,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,0
55,58,2,999,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,0,0,1,0,2
56,29,27,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,0
57,31,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,0
58,27,5,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0
59,60,1,999,1,-1.1,94.199,-37.5,0.8859999999999999,4963.6,1,1,0,0,0
60,55,1,999,2,-3.4,92.431,-26.9,0.7390000000000001,5017.5,0,1,0,0,2
61,37,2,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,0,1,0,1
62,52,1,6,1,-1.8,93.749,-34.6,0.654,5008.7,1,0,0,1,0
63,46,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,1,0,7
64,42,2,999,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,0,1,0,1
65,35,3,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,0
66,49,1,999,0,-3.4,92.431,-26.9,0.754,5017.5,0,0,1,0,9
67,29,3,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,7
