,age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,poutcome_failure,poutcome_nonexistent,poutcome_success,marital_new
0,30,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,1
1,39,4,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,2
2,25,1,999,0,1.4,94.465,-41.8,4.962,5228.1,0,0,1,0,1
3,38,3,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,1
4,47,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,1,0,1
5,32,3,999,2,-1.1,94.199,-37.5,0.884,4963.6,0,1,0,0,2
6,32,4,999,0,-1.1,94.199,-37.5,0.879,4963.6,0,0,1,0,2
7,41,2,999,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,1,0,1
8,31,1,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,1,0,0,0
9,35,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,1
10,25,1,999,0,1.4,93.91799999999999,-42.7,4.958,5228.1,0,0,1,0,2
11,36,1,999,0,1.4,93.91799999999999,-42.7,4.968,5228.1,0,0,1,0,2
12,36,2,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,1
13,47,2,999,0,1.4,94.465,-41.8,4.958,5228.1,0,0,1,0,1
14,29,2,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,2
15,27,2,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,2
16,44,6,999,0,1.4,93.91799999999999,-42.7,4.957,5228.1,0,0,1,0,0
17,46,4,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,0
18,45,2,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,1
19,50,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,1,0,1,0,1
20,55,6,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,1
21,39,1,12,2,-1.8,93.369,-34.8,0.639,5008.7,1,0,0,1,0
22,29,3,999,0,1.4,93.444,-36.1,4.967,5228.1,0,0,1,0,2
23,40,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0,0,1,0,1
24,44,7,999,0,1.1,93.994,-36.4,4.864,5191.0,0,0,1,0,1
25,38,1,999,0,1.4,93.444,-36.1,4.965,5228.1,1,0,1,0,1
26,36,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0
27,28,2,999,1,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,1,0,0,1
28,47,1,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,2
29,34,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,1
30,38,1,999,1,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1,0,1,0,0,1
31,33,3,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,1
32,51,2,999,0,-2.9,92.963,-40.8,1.268,5076.2,0,0,1,0,2
33,30,1,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,2
34,48,7,999,0,1.4,93.444,-36.1,4.962,5228.1,0,0,1,0,1
35,28,1,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,2
36,36,1,999,0,1.1,93.994,-36.4,4.859,5191.0,0,0,1,0,1
37,46,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,0,0,1,0,0
38,31,1,999,1,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,1,0,0,2
39,20,3,999,3,-1.1,94.601,-49.5,0.977,4963.6,0,1,0,0,2
40,35,1,999,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,0,1,0,1
41,38,1,999,0,1.4,94.465,-41.8,4.967,5228.1,0,0,1,0,1
42,76,1,999,1,-1.7,94.027,-38.3,0.899,4991.6,0,1,0,0,1
43,45,3,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,0
44,32,1,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,1
45,39,2,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,2
46,32,1,999,0,-0.1,93.2,-42.0,4.592,5195.8,0,0,1,0,1
47,29,2,999,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,0,1,0,2
48,44,2,999,0,1.4,93.444,-36.1,4.97,5228.1,0,0,1,0,1
49,32,3,999,0,1.4,93.91799999999999,-42.7,4.957,5228.1,0,0,1,0,1
50,56,1,999,2,-2.9,92.963,-40.8,1.26,5076.2,0,1,0,0,1
51,33,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,1
52,39,3,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,1,0,1
53,24,2,3,1,-3.4,92.37899999999999,-29.8,0.77,5017.5,1,0,0,1,1
54,33,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,2
55,58,2,999,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,0,0,1,0,0
56,29,27,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,2
57,31,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,1
58,27,5,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
59,60,1,999,1,-1.1,94.199,-37.5,0.8859999999999999,4963.6,1,1,0,0,0
60,55,1,999,2,-3.4,92.431,-26.9,0.7390000000000001,5017.5,0,1,0,0,1
61,37,2,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,0,1,0,1
62,52,1,6,1,-1.8,93.749,-34.6,0.654,5008.7,1,0,0,1,1
63,46,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,1,0,1
64,42,2,999,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,0,1,0,0
65,35,3,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,2
66,49,1,999,0,-3.4,92.431,-26.9,0.754,5017.5,0,0,1,0,0
67,29,3,999,0,1.4,94.465,-41.8,4.865,5228.1,0,0,1,0,0
68,32,2,5,1,-0.1,93.2,-42.0,4.191,5195.8,1,0,0,1,1
69,37,1,999,1,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,1,0,0,1
70,39,4,999,0,1.4,94.465,-41.8,4.865,5228.1,1,0,1,0,2
71,51,3,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,1,0,1,0,1
72,28,3,999,0,-1.8,92.89299999999999,-46.2,1.291,5099.1,0,0,1,0,2
73,34,4,999,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,0,1,0,1
74,31,1,999,0,1.4,93.444,-36.1,4.966,5228.1,1,0,1,0,2
75,31,5,999,0,1.4,93.444,-36.1,4.962,5228.1,0,0,1,0,1
76,31,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,2
77,38,2,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,2
78,33,6,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,1
79,32,12,999,0,1.4,93.444,-36.1,4.966,5228.1,0,0,1,0,2
80,54,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,1,0,1
81,41,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,0
82,59,7,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,1
83,57,1,2,1,-1.8,93.075,-47.1,1.365,5099.1,0,0,0,1,1
84,38,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,0
85,46,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
86,37,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,2
87,47,3,999,0,1.4,94.465,-41.8,4.961,5228.1,1,0,1,0,2
88,45,1,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,1,0,1,0,2
89,36,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,1
90,40,5,999,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,1,0,2
91,38,2,999,1,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,1,0,0,1
92,44,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,1
93,25,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
94,30,5,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,2
95,43,2,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,1
96,58,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
97,31,6,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,1
98,53,2,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,1
99,52,1,999,0,1.4,93.444,-36.1,4.968,5228.1,0,0,1,0,1
100,37,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,1
101,58,1,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,1
102,37,3,999,0,-1.8,92.89299999999999,-46.2,1.266,5099.1,0,0,1,0,1
103,38,1,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,0,1,0,2
104,33,2,999,0,-1.8,93.075,-47.1,1.41,5099.1,0,0,1,0,2
105,45,1,999,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,0,1,0,1
106,44,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,1
107,38,2,999,0,1.4,93.91799999999999,-42.7,4.966,5228.1,0,0,1,0,1
108,34,1,999,0,-1.7,94.055,-39.8,0.7020000000000001,4991.6,0,0,1,0,1
109,47,1,999,0,-2.9,92.469,-33.6,1.0290000000000001,5076.2,0,0,1,0,1
110,59,1,999,0,-2.9,92.469,-33.6,1.085,5076.2,0,0,1,0,1
111,51,2,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,0,1,0,1
112,31,2,999,0,1.4,94.465,-41.8,4.864,5228.1,0,0,1,0,1
113,56,1,999,1,-0.1,93.2,-42.0,4.12,5195.8,0,1,0,0,1
114,39,2,999,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,1
115,41,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,1,0,1,0,1
116,41,1,999,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,1,0,0
117,53,4,999,0,1.1,93.994,-36.4,4.86,5191.0,0,0,1,0,1
118,35,4,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,1
119,58,1,999,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,0,0,1,0,1
120,25,2,999,0,1.4,94.465,-41.8,4.959,5228.1,0,0,1,0,1
121,35,1,999,1,-1.8,92.89299999999999,-46.2,1.344,5099.1,0,1,0,0,0
122,28,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,0,1,0,2
123,55,3,999,1,-1.8,92.89299999999999,-46.2,1.25,5099.1,0,1,0,0,1
124,54,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,1
125,45,2,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,0
126,32,1,999,1,-1.8,93.075,-47.1,1.41,5099.1,0,1,0,0,1
127,50,3,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,1
128,75,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,1,1,0,0,1
129,33,4,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,0
130,29,2,999,0,1.4,93.444,-36.1,4.967,5228.1,0,0,1,0,1
131,45,1,999,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,1,0,1
132,38,1,999,0,-1.8,93.075,-47.1,1.392,5099.1,1,0,1,0,0
133,24,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,0,1,0,2
134,41,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0,0,1,0,1
135,58,1,999,0,-2.9,92.963,-40.8,1.262,5076.2,1,0,1,0,0
136,34,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,1
137,34,2,999,0,-1.1,94.76700000000001,-50.8,1.05,4963.6,0,0,1,0,1
138,37,1,999,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0
139,53,1,999,0,1.4,94.465,-41.8,4.959,5228.1,1,0,1,0,0
140,54,14,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,0,1,0,0
141,32,1,999,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,0,1,0,0
142,42,6,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,0,1,0,1
