n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,kw_avg_min,kw_avg_max,kw_avg_avg,self_reference_avg_sharess,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,avg_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,two_class_popularity,multi_class_popularity,,shares
12,332,0.528481011,0.999999995,0.64583333,6,3,1,1,4.427710843,7,0,0,0,0,1,0,907,248706,3059.565206,3048.333333,0,0.45840975,0.028577132,0.028574475,0.169421459,0.315017184,0.435635198,0.103030303,0.045180723,0.024096386,0.652173913,0.347826087,0.31869697,-0.145833333,0.718181818,0.137121212,0.218181818,0.137121212,1,5,,8600
10,393,0.518817203,0.999999996,0.596899222,14,1,1,0,5.066157761,6,0,0,0,0,0,0,877.5,416233.3333,5099.296924,3500,0,0.033335492,0.205032463,0.199833538,0.528464535,0.033333972,0.566984127,0.141587302,0.020356234,0.010178117,0.666666667,0.333333333,0.410267857,-0.3125,0.5,0,0,0,1,5,,23700
13,1643,0.388854489,0.999999999,0.546966731,29,4,7,0,4.944613512,9,0,0,0,0,0,1,248.4285714,126444.4444,2204.903678,3675,0,0.0222229,0.022379818,0.689043297,0.022312892,0.244041094,0.364963501,0.113356464,0.035301278,0.009738284,0.783783784,0.216216216,0.303457419,-0.227777778,0,0,0.5,0,1,5,,8400
9,272,0.488888887,0.999999995,0.512690353,2,2,11,0,4.974264706,10,0,0,0,0,0,0,172.3,310260,6501.734556,22650,0,0.020000269,0.252390842,0.02000013,0.68760859,0.02000017,0.249074074,0.037345679,0.022058824,0.014705882,0.6,0.4,0.425,-0.416666667,0,0,0.5,0,1,5,,4800
12,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,175.7985714,506157.1429,4886.913335,0,0,0.030642328,0.028581757,0.02862139,0.883582771,0.028571754,0,0,0,0,0,0,0,0,0.541071429,0.067559524,0.041071429,0.067559524,1,4,,3100
11,1605,0.346049046,0.999999999,0.466814159,68,2,1,0,4.242367601,10,0,1,0,0,0,0,161,252530,3471.835323,5450,0,0.111825134,0.356325938,0.02013343,0.02039766,0.491317839,0.498625307,0.086089653,0.028037383,0.011838006,0.703125,0.296875,0.37974988,-0.539202172,0.4,0.168181818,0.1,0.168181818,1,5,,43700
9,243,0.616379308,0.999999994,0.712499996,7,1,1,1,4.596707819,6,0,0,1,0,0,0,93.8,479683.3333,2899.541311,15800,0,0.533325857,0.033761472,0.199318395,0.033335438,0.200258837,0.630063796,0.168361244,0.057613169,0.016460905,0.777777778,0.222222222,0.313311688,-0.2875,0,0,0.5,0,1,5,,6100
13,222,0.613636361,0.999999993,0.689655168,19,3,11,0,5.518018018,7,0,0,0,0,0,0,91.28571429,314628.5714,4364.855888,43000,0,0.509966507,0.028593476,0.028636315,0.403704497,0.029099204,0.554545455,0.073863636,0.040540541,0.018018018,0.692307692,0.307692308,0.302525253,-0.425,1,-1,0.5,1,1,5,,8800
16,367,0.539999998,0.999999995,0.725888321,2,1,1,0,4.384196185,8,0,0,0,0,0,1,437.8,130245.75,1404.946364,2700,0,0.025002736,0.648713875,0.275517438,0.025118427,0.025647525,0.4892372,0.188897597,0.04359673,0.021798365,0.666666667,0.333333333,0.455397727,-0.1875,0.9,0.8,0.4,0.8,1,5,,7600
8,161,0.633802812,0.999999991,0.626086951,21,1,20,0,5.260869565,6,0,0,0,0,0,0,91.83333333,410583.3333,6346.944629,3600,0,0.033335689,0.033426939,0.033339986,0.866563994,0.033333393,0.698958333,-0.380208333,0.01863354,0.043478261,0.3,0.7,0.683333333,-0.455952381,0.9,-0.4,0.4,0.4,1,5,,10500
