,age,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,default
0,30,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,no
1,39,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,no
2,25,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no,no
3,38,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,no
4,47,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no,no
5,32,3,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,no,no
6,32,4,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no,no
8,31,1,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
11,36,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no,no
12,36,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,no
13,47,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,no
14,29,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,no
15,27,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
16,44,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no,no
17,46,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,no
19,50,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,yes,no
21,39,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,yes,no
22,29,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,no
23,40,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,no
25,38,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes,no
26,36,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
29,34,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,no
30,38,1,999,1,failure,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1,no,no
32,51,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no,no
34,48,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no,no
35,28,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,no
36,36,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,no
37,46,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,no
38,31,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,no
39,20,3,999,3,failure,-1.1,94.601,-49.5,0.977,4963.6,no,no
42,76,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,no,no
43,45,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
44,32,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,no
46,32,1,999,0,nonexistent,-0.1,93.2,-42.0,4.592,5195.8,no,no
47,29,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,no
48,44,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,no
49,32,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no,no
50,56,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,no,no
51,33,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,no
52,39,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,no
53,24,2,3,1,success,-3.4,92.37899999999999,-29.8,0.77,5017.5,yes,no
54,33,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,no
55,58,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no,no
56,29,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,no
57,31,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,no
58,27,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
59,60,1,999,1,failure,-1.1,94.199,-37.5,0.8859999999999999,4963.6,yes,no
60,55,1,999,2,failure,-3.4,92.431,-26.9,0.7390000000000001,5017.5,no,no
61,37,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,no
62,52,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,yes,no
63,46,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,no
64,42,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,no
65,35,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,no
66,49,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,no,no
67,29,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,no
68,32,2,5,1,success,-0.1,93.2,-42.0,4.191,5195.8,yes,no
69,37,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,no
72,28,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no,no
73,34,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,no
74,31,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes,no
75,31,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no,no
76,31,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,no
77,38,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,no
78,33,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,no
79,32,12,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,no
81,41,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,no
83,57,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no,no
84,38,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
85,46,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
86,37,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
87,47,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes,no
88,45,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,yes,no
89,36,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,no
90,40,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,no
91,38,2,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
93,25,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,no
94,30,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
95,43,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
97,31,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
98,53,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,no
99,52,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,no
102,37,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no,no
103,38,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,no
104,33,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no,no
106,44,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,no
107,38,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.966,5228.1,no,no
108,34,1,999,0,nonexistent,-1.7,94.055,-39.8,0.7020000000000001,4991.6,no,no
109,47,1,999,0,nonexistent,-2.9,92.469,-33.6,1.0290000000000001,5076.2,no,no
110,59,1,999,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,no,no
112,31,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,no
113,56,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no,no
114,39,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,no
115,41,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,yes,no
116,41,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,no
118,35,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,no
119,58,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,no
120,25,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,no
121,35,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.344,5099.1,no,no
122,28,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
123,55,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.25,5099.1,no,no
