,age,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,housing
0,30,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,yes
1,39,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,no
2,25,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no,yes
4,47,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no,yes
5,32,3,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,no,no
6,32,4,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no,yes
7,41,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no,yes
8,31,1,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,no
9,35,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,no
10,25,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no,yes
11,36,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no,no
12,36,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,no
13,47,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,yes
14,29,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,no
15,27,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,no
16,44,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no,no
17,46,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,yes
18,45,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,yes
19,50,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,yes,no
20,55,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,yes
21,39,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,yes,no
22,29,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,yes
23,40,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,no
24,44,7,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,yes
25,38,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes,yes
26,36,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,no
27,28,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,no
28,47,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,no
29,34,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,no
30,38,1,999,1,failure,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1,no,yes
31,33,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,yes
