,age,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,job
0,30,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,blue-collar
1,39,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,services
2,25,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no,services
3,38,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,services
4,47,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no,admin.
5,32,3,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,no,services
6,32,4,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no,admin.
7,41,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no,entrepreneur
8,31,1,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,services
9,35,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,blue-collar
10,25,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no,services
11,36,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no,self-employed
12,36,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,admin.
13,47,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,blue-collar
14,29,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,admin.
15,27,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,services
16,44,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no,admin.
17,46,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,admin.
18,45,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,entrepreneur
19,50,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,yes,blue-collar
20,55,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,services
21,39,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,yes,technician
22,29,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,technician
23,40,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,management
24,44,7,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,technician
25,38,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes,technician
26,36,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,technician
27,28,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,blue-collar
28,47,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,admin.
29,34,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,admin.
30,38,1,999,1,failure,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1,no,technician
31,33,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,services
32,51,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no,technician
33,30,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,blue-collar
34,48,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no,technician
35,28,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,blue-collar
36,36,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,blue-collar
37,46,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,management
38,31,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,technician
39,20,3,999,3,failure,-1.1,94.601,-49.5,0.977,4963.6,no,student
40,35,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no,services
41,38,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no,blue-collar
42,76,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,no,retired
43,45,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,entrepreneur
44,32,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,housemaid
45,39,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,management
46,32,1,999,0,nonexistent,-0.1,93.2,-42.0,4.592,5195.8,no,admin.
47,29,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no,admin.
48,44,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,services
49,32,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no,services
50,56,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,no,retired
51,33,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,blue-collar
52,39,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,management
53,24,2,3,1,success,-3.4,92.37899999999999,-29.8,0.77,5017.5,yes,technician
54,33,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,admin.
55,58,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no,entrepreneur
56,29,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,admin.
57,31,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,admin.
58,27,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,admin.
59,60,1,999,1,failure,-1.1,94.199,-37.5,0.8859999999999999,4963.6,yes,admin.
60,55,1,999,2,failure,-3.4,92.431,-26.9,0.7390000000000001,5017.5,no,entrepreneur
61,37,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,blue-collar
62,52,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,yes,admin.
63,46,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,services
64,42,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,blue-collar
65,35,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,admin.
66,49,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,no,technician
67,29,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,services
68,32,2,5,1,success,-0.1,93.2,-42.0,4.191,5195.8,yes,blue-collar
69,37,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,self-employed
70,39,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes,technician
71,51,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes,services
72,28,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no,admin.
73,34,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no,management
74,31,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes,technician
75,31,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no,admin.
76,31,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,admin.
77,38,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,self-employed
78,33,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,unemployed
79,32,12,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,technician
80,54,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,technician
81,41,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,admin.
82,59,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,services
83,57,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no,retired
84,38,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,entrepreneur
85,46,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,admin.
86,37,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,unemployed
87,47,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes,services
88,45,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,yes,admin.
89,36,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,blue-collar
90,40,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no,unemployed
91,38,2,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,blue-collar
92,44,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,blue-collar
93,25,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,self-employed
94,30,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,blue-collar
95,43,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no,management
96,58,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,retired
97,31,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,technician
98,53,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,management
99,52,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,admin.
100,37,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,management
101,58,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no,admin.
102,37,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no,services
103,38,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no,admin.
104,33,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no,services
105,45,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,no,services
106,44,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,entrepreneur
107,38,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.966,5228.1,no,blue-collar
108,34,1,999,0,nonexistent,-1.7,94.055,-39.8,0.7020000000000001,4991.6,no,blue-collar
109,47,1,999,0,nonexistent,-2.9,92.469,-33.6,1.0290000000000001,5076.2,no,management
110,59,1,999,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,no,admin.
111,51,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no,blue-collar
112,31,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,blue-collar
113,56,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no,management
114,39,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,admin.
115,41,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,yes,entrepreneur
116,41,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no,management
117,53,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,services
118,35,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,blue-collar
119,58,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no,retired
120,25,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,self-employed
121,35,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.344,5099.1,no,blue-collar
122,28,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no,services
123,55,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.25,5099.1,no,blue-collar
124,54,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,entrepreneur
125,45,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no,technician
126,32,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no,blue-collar
127,50,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,admin.
128,75,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes,retired
129,33,4,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,self-employed
130,29,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,management
131,45,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no,management
132,38,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes,admin.
133,24,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no,services
134,41,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,technician
135,58,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes,retired
136,34,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,admin.
137,34,2,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.05,4963.6,no,admin.
138,37,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,technician
139,53,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes,blue-collar
